iter	RMSE
126	0.1576812428
127	0.1574981584
128	0.1569353694
129	0.1566951493
130	0.1565102276
131	0.1558280536
132	0.1554885066
133	0.1548649586
134	0.1545276546
135	0.1543582966
136	0.1540244728
137	0.1534687894
138	0.1529639662
139	0.1525610284
140	0.1523534179
141	0.1520036249
142	0.1516882752
143	0.151508285
144	0.1509368553
145	0.1504827598
146	0.1503826166
147	0.1502128972
148	0.1500813856
149	0.1499123203
150	0.1495559469
151	0.14934633
152	0.1489521819
153	0.1487446715
154	0.1484762915
155	0.1483046366
156	0.1478956102
157	0.1477434144
158	0.1476598286
159	0.1475676719
160	0.1474517527
161	0.1470523306
162	0.1464915532
163	0.1462403798
164	0.1459479922
165	0.1458529341
166	0.1452981241
167	0.145013778
168	0.1448302674
169	0.144346654
170	0.1441718471
171	0.1437477087
172	0.143459697
173	0.1431493494
174	0.1426247454
175	0.1419408474
176	0.1412376192
177	0.1409599668
178	0.1405382864
179	0.1403800926
180	0.1398202822
181	0.1396947192
182	0.1392503201
183	0.1390829847
184	0.1385628935
185	0.1383842956
186	0.1380091257
187	0.1378134406
188	0.1373961952
189	0.1369884942
190	0.1368091244
191	0.1364276245
192	0.1362723276
193	0.1361754324
194	0.1359198391
195	0.1356701701
196	0.135569048
197	0.1351730629
198	0.1346620394
199	0.1341664809
200	0.1337331533
201	0.1336481425
202	0.1331493622
203	0.1330590212
204	0.1324230043
205	0.1322808579
206	0.1321648156
207	0.1315727546
208	0.1314841649
209	0.1310502164
210	0.1306189822
211	0.1301821306
212	0.1300249219
213	0.1298801461
214	0.1297828943
215	0.1292442973
216	0.1291699263
217	0.1288243185
218	0.1283333787
219	0.1278909377
220	0.1278198799
221	0.1274243043
222	0.1268974658
223	0.1264587769
224	0.1259143522
225	0.1255063262
226	0.1252104011
227	0.124734306
228	0.1244999607
229	0.1241618702
230	0.1236697148
231	0.1231824334
232	0.1227303901
233	0.1221339005
234	0.1220727465
235	0.1214859391
236	0.1209328623
237	0.1206238246
238	0.1201872639
239	0.119936146
240	0.1195093581
241	0.119416531
242	0.1193616949
243	0.1188119124
244	0.118734358
245	0.1185098821
246	0.1182064098
247	0.1177123729
248	0.1172481999
249	0.1169073488
250	0.1165621717
251	0.1161566253
252	0.1156730806
253	0.1152068783
254	0.1148932083
255	0.114445062
256	0.114095038
257	0.113649893
258	0.1133712135
259	0.1128971393
260	0.1126102752
261	0.1121734934
262	0.1117180325
263	0.1113975995
264	0.1112956027
265	0.1109652666
266	0.1105245224
267	0.1102062863
268	0.1098661794
269	0.1095456834
270	0.1091704326
271	0.1087169801
272	0.1085796482
273	0.1083678517
274	0.1083036883
275	0.1082418571
276	0.1079006953
277	0.1075340893
278	0.107308203
279	0.1070007923
280	0.1067332583
281	0.1063210806
282	0.1060083596
283	0.1058039361
284	0.1056391185
285	0.1053545698
286	0.1053054894
287	0.1051024078
288	0.1050555138
289	0.1050155246
290	0.1048523436
291	0.1045174161
292	0.1043140749
293	0.1039825898
294	0.1036171783
295	0.1033125757
296	0.1028955272
297	0.1025675232
298	0.1022262756
299	0.1017972791
300	0.1015023392
301	0.1012091244
302	0.1008620506
303	0.1004463698
304	0.100134757
305	0.09990257311
306	0.09985693224
307	0.09953594666
308	0.09918215199
309	0.09884420924
310	0.09855260678
311	0.09819506685
312	0.09803676373
313	0.09774901665
314	0.09762910714
315	0.09727389205
316	0.09717666541
317	0.09698548876
318	0.09689784169
319	0.09659535838
320	0.09640417843
321	0.09619254287
322	0.09600784871
323	0.09577347256
324	0.09548247659
325	0.09529578731
326	0.09525317952
327	0.09498904263
328	0.09473343417
329	0.09449727073
330	0.09420764586
331	0.09386617144
332	0.09370258888
333	0.09366119393
334	0.09336249444
335	0.09313152059
336	0.09288312775
337	0.09264444588
338	0.09236110596
339	0.09212318664
340	0.09190976493
341	0.09188019748
342	0.09164748312
343	0.09153038714
344	0.09134986577
345	0.09115808793
346	0.09111534628
347	0.09076315471
348	0.09059097034
349	0.09035044457
350	0.09022684739
351	0.09002183607
352	0.08993095625
353	0.08970097432
354	0.08950996597
355	0.08924113369
356	0.08892816987
357	0.08885244019
358	0.08862768378
359	0.08836876946
360	0.08816808467
361	0.08790461123
362	0.08786620309
363	0.08762422561
364	0.08752843241
365	0.08744614914
366	0.08715882808
367	0.08684952476
368	0.0867245732
369	0.08646116882
370	0.08633062351
371	0.08629622083
372	0.08614992802
373	0.08604669696
374	0.08593872949
375	0.08591207669
376	0.08563379637
377	0.0853801427
378	0.08520950302
379	0.08508056791
380	0.08484215333
381	0.08465628201
382	0.084529016
383	0.08432912933
384	0.08402236494
385	0.08398778317
386	0.08395638088
387	0.08374917303
388	0.08367536197
389	0.08351210426
390	0.08348539475
391	0.08325364712
392	0.08323254634
393	0.08293684986
394	0.0826831758
395	0.08243945561
396	0.08241301916
397	0.0822701031
398	0.08213931912
399	0.08196516698
400	0.08170664566
401	0.08168238589
402	0.0816626611
403	0.08146303514
404	0.08118235837
405	0.08116276296
406	0.08113692093
407	0.08111857185
408	0.08110665873
409	0.08088138334
410	0.0808330304
411	0.08070001727
412	0.08049720754
413	0.0802345941
414	0.08017070491
415	0.07990021827
416	0.07968930181
417	0.07948988038
418	0.07946662096
419	0.07931932969
420	0.07908592996
421	0.07891365569
422	0.07889663248
423	0.07887999007
424	0.07867725019
425	0.07863640269
426	0.07845643288
427	0.07824736502
428	0.07810627592
429	0.07791454035
430	0.07767716416
431	0.07765189564
432	0.07743600171
433	0.07727083996
434	0.07725174081
435	0.07719908202
436	0.07717912355
437	0.0770745207
438	0.07688381096
439	0.07681936456
440	0.07664325472
441	0.07661370149
442	0.07645670773
443	0.07639092316
444	0.07620561822
445	0.07599634539
446	0.07584344838
447	0.07565204768
448	0.07550402253
449	0.07534076588
450	0.07521556986
451	0.07502449519
452	0.0748201147
453	0.07481385853
454	0.07467593733
455	0.07456161474
456	0.07440646095
457	0.07418358101
458	0.07408835467
459	0.07407708206
460	0.07390561116
461	0.07380760757
462	0.07361481052
463	0.07360933419
464	0.0734265295
465	0.07331628562
466	0.07316877602
467	0.07303762751
468	0.07290793799
469	0.07287014206
470	0.07269674348
471	0.0726861376
472	0.07247547196
473	0.07232394661
474	0.07222457392
475	0.07206635104
476	0.07190974574
477	0.07169686869
478	0.07149575018
479	0.07131411454
480	0.07126983981
481	0.07115824182
482	0.07103000058
483	0.07094442154
484	0.07077633342
485	0.07059596435
486	0.07040808292
487	0.07023504339
488	0.07016222189
489	0.06997942667
490	0.06975019874
491	0.06964130466
492	0.06944840686
493	0.06928905206
494	0.06914985725
495	0.06900188892
496	0.06894132227
497	0.06879562943
498	0.06866578706
499	0.06859766497
500	0.06841699806
501	0.06840449793
502	0.06829332025
503	0.06827007954
504	0.06813793884
505	0.06812814232
506	0.06800229713
507	0.06788944088
508	0.06772201564
509	0.06760989769
510	0.06750755068
511	0.0673503062
512	0.0671765988
513	0.06706188656
514	0.06696577718
515	0.06686948682
516	0.06678905009
517	0.06660430537
518	0.06646185066
519	0.06626957402
520	0.06610099876
521	0.06605792876
522	0.06591810201
523	0.06573962944
524	0.06554474739
525	0.06539561137
526	0.06527055637
527	0.06514762172
528	0.06503992842
529	0.06491319738
530	0.06477114606
531	0.06466977789
532	0.06446100532
533	0.0643697615
534	0.06434255671
535	0.06424399116
536	0.06403524069
537	0.06390524383
538	0.06376161193
539	0.06362855349
540	0.0634364799
541	0.06333064505
542	0.06318694322
543	0.0630330878
544	0.0629073565
545	0.06283171046
546	0.06271276811
547	0.06255790279
548	0.0624577647
549	0.06227225345
550	0.06208891129
551	0.06194666764
552	0.06184665226
553	0.06173727786
554	0.061729865
555	0.06163757342
556	0.06150084233
557	0.06139043016
558	0.06129213109
559	0.06114029089
560	0.06103212957
561	0.06094828584
562	0.06087388335
563	0.06070826166
564	0.06052714126
565	0.06037117668
566	0.06022983207
567	0.0600668832
568	0.05991506737
569	0.05977994201
570	0.05973164768
571	0.05962313529
572	0.05953014807
573	0.05944026242
574	0.05935626267
575	0.05916442327
576	0.05903279287
577	0.05895009985
578	0.05884898972
579	0.05870442015
580	0.0585751172
581	0.05844620833
582	0.05834898931
583	0.05825782862
584	0.05808513747
585	0.05807624225
586	0.05796486221
587	0.05787443469
588	0.05777289326
589	0.05769738865
590	0.05755251863
591	0.05747463523
592	0.05737272578
593	0.05722622398
594	0.05712874824
595	0.05702388007
596	0.05694927639
597	0.05685356462
598	0.05677428321
599	0.0567014743
600	0.05656077544
601	0.05646062804
602	0.05634434852
603	0.05624552713
604	0.05615974368
605	0.05604139507
606	0.05589470892
607	0.05574346174
608	0.05573770407
609	0.05564305837
610	0.05548894198
611	0.05540148938
612	0.05531873767
613	0.05528057905
614	0.0551703896
615	0.05510256141
616	0.05503544804
617	0.05493143297
618	0.05482125815
619	0.0546982309
620	0.05469179986
621	0.0545569099
622	0.05444632639
623	0.0543234738
624	0.05423193353
625	0.05422328658
626	0.05413879303
627	0.05406798741
628	0.05395811166
629	0.05382679523
630	0.05370341329
631	0.05356789043
632	0.05346842221
633	0.05338256373
634	0.05327034359
635	0.05317191953
636	0.05306552676
637	0.05296421531
638	0.05288987196
639	0.0527834299
640	0.05269021419
641	0.05258700123
642	0.05246612977
643	0.0524145558
644	0.05226056442
645	0.05225519864
646	0.0521680171
647	0.05216226095
648	0.05208912197
649	0.05196093494
650	0.0518430874
651	0.05174848285
652	0.05160515069
653	0.05151729967
654	0.05140409134
655	0.05132882671
656	0.05124767408
657	0.05118501512
658	0.05109550017
659	0.05102575053
660	0.05091209429
661	0.05079801542
662	0.05070772907
663	0.05070283194
664	0.05063288143
665	0.05057450394
666	0.05056670091
667	0.05051235942
668	0.0504080305
669	0.05028712632
670	0.05024749035
671	0.05024186991
672	0.05012333323
673	0.05009003536
674	0.05008477267
675	0.05000348564
676	0.04997601799
677	0.04996563692
678	0.04987184361
679	0.04973336777
680	0.04963096914
681	0.04954656815
682	0.04941017457
683	0.04932241911
684	0.04931284924
685	0.0493082002
686	0.04922523526
687	0.04913957546
688	0.04910044236
689	0.04909444412
690	0.04907900742
691	0.04903535027
692	0.04891604594
693	0.04891095092
694	0.04885670953
695	0.04880872812
696	0.04880133611
697	0.04871093823
698	0.04860102066
699	0.0485022985
700	0.04837961447
701	0.04826055169
702	0.04814591122
703	0.04813194924
704	0.04805521703
705	0.04800487197
706	0.04793005888
707	0.04782267897
708	0.04771627956
709	0.04766421734
710	0.04765163905
711	0.04753315039
712	0.04749145011
713	0.04743447622
714	0.04735242141
715	0.04725099959
716	0.04716823809
717	0.04716318655
718	0.04712481611
719	0.04705751661
720	0.04699048925
721	0.04692608573
722	0.04687151475
723	0.04686606282
724	0.04679183765
725	0.04678630909
726	0.04669738157
727	0.04661436008
728	0.0465240893
729	0.04646553032
730	0.04635258042
731	0.04627960956
732	0.04616044249
733	0.04612522921
734	0.0461184633
735	0.04602182318
736	0.04599698707
737	0.04588653171
738	0.04583494253
739	0.04582698438
740	0.04571776706
741	0.04565515739
742	0.04559831558
743	0.04559141136
744	0.04558180062
745	0.04557910667
746	0.0455702498
747	0.04552198357
748	0.04551569985
749	0.04545368191
750	0.045368533
751	0.04536557842
752	0.04535851909
753	0.04530252986
754	0.04529679815
755	0.04528229478
756	0.04524642453
757	0.04513832024
758	0.04503842824
759	0.04494096927
760	0.04487750507
761	0.04481772945
762	0.04481532081
763	0.04480769391
764	0.04479539948
765	0.04475008344
766	0.0446944738
767	0.04463487261
768	0.04463046107
769	0.0445803787
770	0.04456073831
771	0.04447399753
772	0.04446452983
773	0.04445910389
774	0.04438343202
775	0.04437790007
776	0.04432094563
777	0.04426251432
778	0.04416290288
779	0.04409047106
780	0.04400761721
781	0.04400135166
782	0.04391291376
783	0.043901036
784	0.04382435742
785	0.04381910558
786	0.04377062977
787	0.04367715195
788	0.04360349935
789	0.04354225113
790	0.04348902513
791	0.04347508228
792	0.04343023017
793	0.04337716639
794	0.04337044203
795	0.0432816996
796	0.04324222418
797	0.04313305281
798	0.0430538454
799	0.04290078726
800	0.04282276854
801	0.04281616818
802	0.04276807991
803	0.04266797922
804	0.04258692779
805	0.042492943
806	0.0424440911
807	0.04239238026
808	0.042348405
809	0.04234272702
810	0.04225156248
811	0.04213681267
812	0.04207415324
813	0.04206776458
814	0.04205828792
815	0.04196607251
816	0.04195591535
817	0.04188805027
818	0.04183287192
819	0.04175444946
820	0.04169535712
821	0.04161704402
822	0.04154796958
823	0.04154201103
824	0.04145059247
825	0.04142628256
826	0.04135860667
827	0.04133187369
828	0.0413162166
829	0.0413132402
830	0.04126382276
831	0.04121574495
832	0.0411530915
833	0.04107892332
834	0.04101257406
835	0.04095790113
836	0.04090248706
837	0.04084672709
838	0.04082997196
839	0.04074762312
840	0.04069313281
841	0.04059513775
842	0.04055291435
843	0.0405442828
844	0.04047308931
845	0.04039094549
846	0.0403332633
847	0.04033001424
848	0.04024713344
849	0.04024222533
850	0.04014344245
851	0.04012812848
852	0.0400540736
853	0.03999923813
854	0.03993941856
855	0.0398605749
856	0.03980094629
857	0.03973532471
858	0.03966867884
859	0.03959179209
860	0.03957223493
861	0.03952701068
862	0.03945789805
863	0.03937154528
864	0.03932241085
865	0.0392765335
866	0.03919912922
867	0.03919051599
868	0.03913182272
869	0.03907491236
870	0.03906675983
871	0.0390100188
872	0.03893482402
873	0.03889380734
874	0.03880982061
875	0.03874678836
876	0.03866716078
877	0.03857964602
878	0.03850318894
879	0.03849895243
880	0.03843468627
881	0.03843091517
882	0.03842675475
883	0.03842283336
884	0.03834024754
885	0.03823495835
886	0.03820174198
887	0.03819638761
888	0.03819289833
889	0.03814121634
890	0.03809190481
891	0.03809032759
892	0.03808624113
893	0.03808281233
894	0.03802489399
895	0.03797510832
896	0.03790678081
897	0.03787559077
898	0.03780155784
899	0.03779534206
900	0.03773299097
901	0.03770582289
902	0.03763756947
903	0.03763427725
904	0.03757163602
905	0.03756849963
906	0.03756375353
907	0.03755959409
908	0.03755563396
909	0.03752290542
910	0.03748077464
911	0.03742100315
912	0.03736029978
913	0.03733799993
914	0.03733035696
915	0.03730237206
916	0.03725734878
917	0.03724857518
918	0.03724516985
919	0.03723646995
920	0.03723318975
921	0.03722952799
922	0.03715910651
923	0.03707463624
924	0.03701840471
925	0.03694384335
926	0.03689573771
927	0.03684119215
928	0.03676914729
929	0.03670452097
930	0.03663633585
931	0.03659707839
932	0.03651300171
933	0.03644067444
934	0.03638936085
935	0.03635028741
936	0.03628657101
937	0.0362433931
938	0.03617604633
939	0.0361240902
940	0.03611064161
941	0.03607616535
942	0.03607330749
943	0.03600836088
944	0.03594969809
945	0.03589127958
946	0.03580247718
947	0.03573112983
948	0.03569130018
949	0.03563691728
950	0.03563220903
951	0.03555589692
952	0.03555311401
953	0.03550704303
954	0.03541419979
955	0.03535321345
956	0.03531823064
957	0.03530174872
958	0.03529798383
959	0.03521773194
960	0.0351603249
961	0.03510195014
962	0.03502001768
963	0.03493696182
964	0.03492651985
965	0.03486352912
966	0.03484221031
967	0.0348102292
968	0.03479632141
969	0.03474257593
970	0.0346804742
971	0.03464750536
972	0.03462002349
973	0.03457578941
974	0.03455932903
975	0.03447981731
976	0.03442955793
977	0.03438489889
978	0.03432201452
979	0.03427348848
980	0.03425934412
981	0.03420088212
982	0.03410579302
983	0.03406698648
984	0.03402253662
985	0.03400505749
986	0.0339388067
987	0.033915389
988	0.03391271761
989	0.03384949843
990	0.03383368504
991	0.03382995004
992	0.03377173367
993	0.03370950956
994	0.03361029579
995	0.03360641795
996	0.0336028383
997	0.03355675395
998	0.03350853296
999	0.033506164
